ID,site,genre,url,datetime,h1,h2,crawled_at
1,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000321.000061742.html,2026年03月13日 18:50,《豚丼屋TONTON》道民の味をお好きな場所で！デリバリー専門店3/20(金) 全国6店舗同時オープン!!,,2026年03月14日 13:56
2,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000759.000155396.html,2026年03月13日 16:30,2週連続！金・土・日の週末に「揚げ物日替わりスーパーセール」を開催！人気のチキンやカレーパンなどの揚げ物が均一価格でお得に！,〜1週目は130円、2週目は100円均一（各税別）！週末限定のセールを開催〜,2026年03月14日 13:56
3,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001068.000018731.html,2026年03月13日 16:00,お誕生日月は、みんなでかっぱ寿司の食べ放題！“一緒に祝うと、みんなもおトク！” お誕生日月の方がいれば、ご本人様※と同一グループの皆さま全員※、食べ放題が土日祝価格より４００円引きに！,実施期間：２０２６年３月１４日(土)～４月1２日(日)の土日祝予定、かっぱ寿司全店にて,2026年03月14日 13:56
4,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000457.000055180.html,2026年03月14日 12:00,【春を彩る日本酒フェア】十四代や新政、季節限定酒含む希少酒特別企画｜日本酒原価酒蔵5店舗で開催,株式会社ビリオンフーズ（本社：東京都港区、代表取締役：中村雄斗）が運営する日本酒原価酒蔵5店舗では、各店舗限定の希少酒プランを開催します。,2026年03月14日 13:56
5,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000003595.000014571.html,2026年03月14日 10:00,＜テレビ朝日「食彩の王国」で紹介＞総料理長 小出裕之が“漆黒の潮騒”江戸前ちば海苔メニューを考案,「江戸前ちば海苔」を使った料理とスイーツが登場。ホテルニューオータニ幕張「千葉県民の日プロモーション」で提供,2026年03月14日 13:56
6,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000295.000022258.html,2026年03月13日 16:00,クラフトサンドウィッチ専門店「BASE Sand」を新規展開　〜おいしさも、栄養も、このひとくちで。〜,,2026年03月14日 13:56
7,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001231.000032350.html,2026年03月10日 10:00,「ガッツリいきたい日に、とんかつだけじゃ終わらせない！」かつやでチャーシュー×ベーコン×ボロニアソーセージ参戦。,チャーシュー、ベーコン、ボロニアソーセージエッグとロースカツを1度に楽しめる商品。2026年3月13日(金)販売開始！,2026年03月14日 13:56
8,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000750.000001046.html,2026年03月13日 12:10,LINE・アプリ会員限定【3月16日、3月23日】マンデー＼生ビール1杯100円セール／を開催！,2026年3月16日（月）と、3月23日（月）の2日間は、キリン一番搾り生ビール（中ジョッキ）が何杯飲んでも1杯100円（税込）！,2026年03月14日 13:56
9,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000669.000006894.html,2026年03月12日 17:00,大人のロイヤルミルクティー「凛圓 ロイヤルミルクティー Premium」を販売開始,厳選された静岡県産紅茶と牛乳を使用した上質なミルクティーのお酒,2026年03月14日 13:56
10,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001110.000033462.html,2026年03月13日 09:00,【🍓各日数量限定🍓ブッフェでいちご狩りを満喫!!】4/8迄！『ニラックスブッフェ』2店舗にて、時間無制限で「国産いちご」の食べ放題が満喫できる特別コースがスタート！,【実施期間】2026年3月12日（木）～ 2026年4月8日（水）　※各日数量限定,2026年03月14日 13:56
11,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000500.000000515.html,2026年03月12日 14:00,SNSで話題となった商品が、ご好評につき復活！販売期間を延長！！ トッピングをぎゅっと詰め込んだ“子どもの頃の夢を叶えるアイス”！ 『トッピンぎゅ～！』 3月24日（火）より全国発売,,2026年03月14日 13:56
12,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000130.000145123.html,2026年03月08日 09:10,"【3/14限定】1時間で1,500個“即完売”！伝説の苺シャンティーが「ホワイトシャンティ」として1日限定復活！",【ホワイトデー限定】まるでとろけるショートケーキ！特大“3Lとちおとめ”の苺シャンティーがホワイトチョコ仕立てに！,2026年03月14日 13:56
13,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000921.000014685.html,2026年03月11日 10:20,ホワイトデーに314リットルの牛乳を無料配布！3月14日（土）に巨大牛乳パックトリックアートが渋谷に登場,全長12mの巨大パックや“牛からのバックハグ”で、牛乳消費を楽しく応援！ ホワイトデーに“白”い牛乳を贈る体験型イベント「ギガミルク −White Day−」開催,2026年03月14日 13:56
14,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000019.000076024.html,2026年03月11日 19:00,行列のできる幻のケーキ屋。オンラインで1年以上待ちの名古屋名物のガトーショコラ 「 THE chocola 」 が催事販売を大幅制限へ。,催事なのに売らない!?今までに無い販売革命でお客様に商品の価値をお伝えする。その鍵を握るのは催事の専属スタッフ。,2026年03月14日 13:56
15,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000660.000059399.html,2026年03月09日 17:00,"「すとぷり」などSTPR Family、サントリー社との初コラボ！全国約2,000台の自販機でオリジナルラベル缶を販売開始！",― 『STPR Family Festival!!2026』開催記念、メンバーラベル＆シークレットデザインも登場 ―,2026年03月14日 13:56
16,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000072.000010547.html,2026年03月10日 11:00,『シーチキン』×『サンリオキャラクターズ』コラボ商品発売のお知らせ！サンリオキャラクターズといっしょに！もっとおいしくシーチキンを食べよう。2026年３月より順次販売開始！,,2026年03月14日 13:56
17,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000519.000024007.html,2026年02月24日 07:30,回転すしスシローとパペットスンスンが再びコラボ！3月4日より全国の店舗で限定グッズ付きのおすしやスイーツなどを展開,,2026年03月14日 13:56
18,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001220.000032350.html,2026年02月24日 10:00,揚げ物×タルタルの最強タッグ！「今日も胃袋を幸せにする」かつやでタルタル盛り揚げ丼新登場！,タルタル盛り揚げ丼、定食！！！2026年2月26日(木)販売開始。,2026年03月14日 13:56
19,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000384.000038980.html,2026年02月24日 13:00,バーガーキング®春のワッパー®祭り開催！5日間限定各日14時からワッパー®セット5種が300円引き最大29％オフの公式アプリ限定クーポンを配信！チーズ、ダブルチーズ、BBQ、テリヤキ、スパイシーが対象,【期間限定】3月2日（月）～3月6日（金）各日14時から,2026年03月14日 13:56
20,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000017.000151353.html,2026年02月21日 15:02,【再販決定！】明治「たけのこの里」公式コラボ『アルティメットたけのこ』3月1日より限定再販,,2026年03月14日 13:56
21,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000091.000145570.html,2026年03月14日 13:45,【世界を魅了するブレンデッドの最高峰】デュワーズの真髄をアンバサダーが語る、10名限定の特別テイスティングセミナー！超希少な32年熟成を含む豪華8種飲み比べ,2026年4月12日(日)、六本木ウイスキーサロンにて開催。世界最高賞を受賞し続けるマスターブレンダーの技術を、バカルディ ジャパン アンバサダー田中大智氏の解説とともに体感。,2026年03月14日 13:56
22,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000031.000122221.html,2026年03月14日 13:00,「一石三鳥グループ」にて海を越えた食のコラボレーションが実現。台湾・台東県の食材を使用した「台東祭」開催,グループ全10店舗で限定メニューを提供,2026年03月14日 13:56
23,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000158056.html,2026年03月14日 12:53,店舗のGoogleマップのスコアリングサービス（無料）を提供,MEO・口コミ・競合比較など複合指標で店舗の集客力を可視化,2026年03月14日 13:56
24,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000940.000045400.html,2026年03月14日 12:50,【名古屋市/天白区】全国50店舗以上・月間利用者数8万人の“時間無制限”無人カフェ「セルフカフェ」、原駅徒歩1分に新店舗「セルフカフェ原店」3月14日OPEN ― “日常に溶け込む無人カフェ”,原駅徒歩1分、Wi-Fi・電源完備。勉強や仕事、PC作業など日常の作業スペースとして気軽に利用できる、,2026年03月14日 13:56
25,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000018.000086059.html,2026年03月14日 12:19,株式投資型クラウドファンディング実施 及び オンライン事業説明会開催のお知らせ,,2026年03月14日 13:56
26,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000098.000018848.html,2026年03月14日 12:00,【池袋 初出店】 全国50店舗達成！サラダボウル専門『WithGreen』池袋 IT tower TOKYOに3月14日オープン,,2026年03月14日 13:56
27,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000852.000122416.html,2026年03月14日 11:00,和食さと 岸田堂店が3/14(土)にリニューアルオープン!!,ゆったり半個室席の増設、ソフトクリームコーナー等サービスがさらに充実！,2026年03月14日 13:56
28,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000149.000014190.html,2026年03月14日 11:00,【ショコラティエ パレドオール】春のご褒美スイーツ！桜・抹茶・いちごで彩る春限定ショコラパフェが登場,ひと口で春満開！季節限定パフェとショコラのご案内,2026年03月14日 13:56
29,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000315.000026789.html,2026年03月14日 10:57,移りゆく四季を味わうチョコレート【四季とメゾン】。春は軽やかな桜スイーツが 3/15（日）より順次登場。,,2026年03月14日 13:56
30,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000099.000018848.html,2026年03月14日 10:00,【荻窪 初出店】 全国50店舗達成！サラダボウル専門『WithGreen』 ルミネ荻窪に3月14日オープン,,2026年03月14日 13:56
31,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000741.000033279.html,2026年03月14日 10:00,【1日で10種類以上を食べ尽くしカレー真理に迫る】カレー大學が「調理学」に特化した究極の1日集中講座を5月9日に開講！湘南の名店「海月」オーナーシェフ横山和彦氏が門外不出の“科学的調理理論”を全伝授,【3つの注目ポイント】①10種類以上のカレー実習＆試食の体験する前代未聞のプログラム、②7時間でカレー専門家になる調理×歴史×商品学を統合した総合カレー講座、③認定資格「カレー伝導師」を1日で取得可能,2026年03月14日 13:56
32,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000313.000089515.html,2026年03月14日 09:00,かっぱ寿司「ごちCAFE」×日本橋榮太樓　春のひとときを彩る、 「フルーツみつ豆」と「クリームあんみつパフェ」が 期間限定販売で登場！,,2026年03月14日 13:56
33,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000843.000052177.html,2026年03月14日 09:00,【ノボテル沖縄那覇】桜の余韻を料理で楽しむ、お昼の「桜御膳」と「桜あんぱん」,,2026年03月14日 13:56
34,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000035.000166086.html,2026年03月14日 00:00,日本直販、あみゅどるコラボ第2弾として限定日本酒「大吟醸 あみゅの酒」を3月13日より発売予定,〜 明治十年創業・奈良春日山酒造と協業。着物姿のオリジナルラベルで、“和”の世界観を商品化 〜,2026年03月14日 13:56
35,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000006.000179076.html,2026年03月13日 23:24,【秋田初上陸】行列の絶えない麻辣湯専門店「福恩（フーエン）麻辣湯」が秋田市にオープン！全国100店舗を目指す急成長ブランドが東北エリアへ展開加速,全国35店舗の進出決定！話題の「福恩（フーエン）麻辣湯」がついに秋田市へ。自分好みにカスタマイズできる“選べる楽しさ”で、新しい食のエンターテインメントを提供します。,2026年03月14日 13:56
36,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000015.000126917.html,2026年03月13日 23:16,台湾農産物の魅力を発信　FOODEX JAPAN 2026閉幕、日台連携の新たな一歩,,2026年03月14日 13:56
37,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000024.000064743.html,2026年03月13日 20:18,赤坂に“音楽とバールを楽しむイタリアン”誕生 ！イル カルディナーレ 赤坂店がスタンディングバールを新設！,小皿料理が200円・グラスワインが300円から楽しめる新スタイル,2026年03月14日 13:56
38,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000138891.html,2026年03月13日 20:07,台東食材、日本へ本格進出 「一石三鳥」グループと日光・明治の館が連携し「台東祭」を開催,,2026年03月14日 13:56
39,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000021.000035423.html,2026年03月13日 19:56,溝の口に香港スイーツPOPUPが期間限定オープン！プロデュースは銀座の香港料理店「喜記」,"銀座で累計7,800個販売の人気企画。看板商品「バターボーローバン」やエッグタルトなど香港スイーツを期間限定販売",2026年03月14日 13:56
40,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000178988.html,2026年03月13日 19:53,【YouTuberヒカル×勝股農園】「本気のコラボ梅干し」本日発売,生産者の6割が高齢者。衰退の危機にある梅業界を変える。,2026年03月14日 13:56
41,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000179107.html,2026年03月13日 19:45,日本初！御殿場発！伝統発酵食×大豆から生まれたお肉『なっと肉®️』　なっとう肉屋『一永堂 御殿場本店』が、2026年3月15日オープン！,ニッポンから納豆肉を！日本の伝統の納豆菌と植物性由来の大豆から作った次世代のお肉。富士山の麓から皆さまへ、新しいお肉のカタチ「なっと肉®️」をお届けします。,2026年03月14日 13:56
42,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000694.000044559.html,,,ニュースリリース配信サービス,2026年03月14日 13:56
43,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000058.000163102.html,2026年03月13日 19:30,「アイスは別腹」×「とろり天使のわらびもち」安城店がコラボ！安城店限定ソフトやアイスは別腹の人気商品を販売！,「とろり天使のわらびもち 安城店」の周年イベントも同時開催！,2026年03月14日 13:56
44,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000006.000176133.html,2026年03月13日 19:24,【NEW OPEN】岡山県 倉敷市 瀬戸内海国立公園・鷲羽山に、「日本茶と珈琲と絶景」を味わうカフェ「KOTKA SETOUCHI / コトカ」が誕生します。,瀬戸内海国立公園・鷲羽山。瀬戸大橋と多島美を望む、鷲羽山ビジターセンター内に、日本茶と珈琲と絶景を楽しむカフェ「KOTKA SETOUCHI / コトカ 」 を令和8年3/21(土)にオープンします。,2026年03月14日 13:56
45,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000005.000141546.html,2026年03月13日 19:01,【蒸蒸酒場 カイフォルニア】感謝の9周年！【3日間限定】Wキャンペーン開催!!何杯飲んでもドリンク半額!!&今だけ、蒸し牡蠣100円の『カキ祭り』!! 2026年3月17日(火)〜19日(木),昭和レトロを感じながら愉しむ海鮮酒場,2026年03月14日 13:56
46,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001733.000009215.html,2026年03月13日 19:01,【TGIフライデーズ】 1965円で楽しむ 「ニューヨークの味」。TGIフライデーズ創業61周年 『Back to New York 1965』 開催！,AMERICAN CLASSIC BURGER x LONG ISLAND ICED TEA 期間限定販売 全13店舗　 3月15日(日)～3月31日(火),2026年03月14日 13:56
47,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000055604.html,2026年03月13日 19:00,埼玉県ときがわ町の里山が「理想郷」に。Teenage Brewing 3周年記念フェス『Teenage Weekend 2026』5月30日(土)開催決定！,"ビール、音楽、自然が溶け合う、境界線のない1日限りの野外フェス。Teenage Brewingが手がける、美しくも自由な""理想郷""へようこそ。",2026年03月14日 13:56
48,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000179418.html,2026年03月13日 18:01,【佐賀】神埼そうめんが「神埼『総』めん」へリブランディング。390年の伝統を、未来の誇りへ。,〜機械式製麺発祥の地から、伝統の継承と食文化の新時代を切り拓く〜,2026年03月14日 13:56
49,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000673.000016651.html,2026年03月13日 18:00,スタジアムシティホテル長崎最上階レストラン４店舗が開業1年を経て、ついに一般予約が可能に！,～焼肉、寿司、ちゃんぽん、日本酒BARがメニューを刷新し、誰でもお楽しみいただけるレストランへ。～,2026年03月14日 13:56
50,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000260.000027824.html,2026年03月13日 17:47,【ホテルニューオータニ博多】スペインの伝統美を感じる空間へ「レストラン カステリアンルーム」「バー カステリアンルーム」ソフトリニューアル,リニューアルを記念し、特別ランチコースと期間限定ハッピーアワーを開催,2026年03月14日 13:56
51,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000192.000054826.html,2026年03月13日 17:23,「五ケ山豆腐」に季節限定で新メニューが登場！！,「株式会社愛しとーと」（本社：福岡県那珂川市、代表：岩本初恵）が運営する山のレストラン「五ケ山豆腐」は、季節限定で新メニュー「厚揚げ肉巻き御膳」を好評提供中です。,2026年03月14日 13:56
52,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000024.000129399.html,2026年03月13日 17:20,南陽市のワイナリーが一堂に集まる！南陽ワインフェス2026が開催,ワインと音楽で特別な時間を。来場者にはオリジナル「フェスタオル」もプレゼント！,2026年03月14日 13:56
53,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000191.000073463.html,2026年03月13日 17:20,恵比寿のコーヒースタンド「JOE TALK COFFEE」、ランとコーヒーと会話で朝を整えるコミュニティイベント「healthy joe talk run vol.1」を3月29日（日）に開催,～ ランニング後にコーヒータイム。先着10名限定 ～,2026年03月14日 13:56
54,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000006797.000010088.html,2026年03月13日 17:10,【JAF茨城】大子町の春を奥久慈りんごで満喫！JAFデー in 藤田観光りんご園「完熟りんごのアップルパイを作ろう！」,今年はお土産にアップルジュースと次回入場無料チケット、同伴者にも同様のお土産を提供,2026年03月14日 13:56
55,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001182.000024246.html,2026年03月13日 17:00,【最新口コミ調査】塚田農場のGoogleマップ平均評価は★4.5！高評価を支える「推しメニュー」を口コミから分析！,「塚田農場」38店舗の「口コミ平均評価」「外国語口コミ率」「ポジティブキーワード」を調査,2026年03月14日 13:56
56,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000001184.000014225.html,2026年03月13日 17:00,【カフェコムサ】創業30周年を彩る記念ケーキをチーフパティシエが考案！宇和島フェアを開催！,愛媛県 宇和島市 CORLEOFARM産「清見オレンジ」のケーキをメインに３種類のケーキがラインナップします。春の訪れを告げる春みかんの美しいケーキです！,2026年03月14日 13:56
57,https://prtimes.jp/,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000175760.html,2026年03月13日 17:00,港区で話題の「締めサプリ」誕生。経営者の飲酒体験から生まれた飲み会サポートサプリ「酒者蘇生（しゅしゃそせい）」、待望のAmazonで販売開始。,"飲み会の“最後に飲む”新習慣。18種成分3,000mg配合の顆粒タイプ、港区発のライフスタイルサプリ。 Amazon発売記念で20％オフキャンペーン開催！",2026年03月14日 13:56
58,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000000666.000059399.html,2026年03月14日 12:00,大観覧車「コスモクロック21」でSTPR特別演出が決定！STPR Family×横浜市コラボイベントの一環として実施！Kアリーナ横浜内外では、ライブ開催に合わせ連動企画を展開,― 開催日程：3/20・21「AMPTAK」ワンマンライブ、3/22・23「めておら」ワンマンライブ、3/25・26握手＆ハイタッチ会、3/28・29 所属グループ総出演 大型ライブイベント ―,2026年03月14日 13:56
59,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000004874.000029501.html,2026年03月14日 12:00,敵も味方もゆるすぎる⁉SNSで話題のSTUDY優作が描く“平和すぎる” 犬の戦隊ヒーロー『わんわーズ』3月14日（土）より連載開始,,2026年03月14日 13:56
60,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000001992.000003481.html,2026年03月14日 12:00,KYOSUKE HIMURO FILM CONCERT TOURLAST GIGS OVERRIDE LIVE VIEWING開催決定！,https://liveviewing.jp/himuro-lastgigsoverride/,2026年03月14日 13:56
61,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000008118.000016756.html,2026年03月14日 12:00,書泉グランデに、謎が、山積みだ！『書泉グランデNAZO祭り』を【3月14日（土）～5月10日（日）】にて開催‼,～謎解きだけで1日が終わるような、謎尽くしの１日をお過ごしください～,2026年03月14日 13:56
62,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000008122.000016756.html,2026年03月14日 12:00,『桜蘭高校ホスト部』より、ぬいパルすきっぷシリーズとぱしゃこれが登場！,株式会社ムービックは『桜蘭高校ホスト部』の新商品を、全国のアニメイト、アニメイト通販、ムービック通信販売等にて発売いたします。,2026年03月14日 13:56
63,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000000673.000036704.html,2026年03月14日 12:00,FM AICHI「アスナル金山 presents ASUNAL TREASURE」が20年目のリニューアル！11代目パーソナリティは「平野莉玖」「WITHDOM」「林祐衣」！,,2026年03月14日 13:56
64,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000001955.000025606.html,2026年03月13日 14:00,【お詫びとお知らせ】「東京ばな奈×モンチッチ　キーチェーン」販売店変更,JR東京駅｢改札内｣では販売中止とさせていただきます,2026年03月14日 13:56
65,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000000856.000125910.html,2026年03月13日 18:00,【ＢＳ日テレ】船越英一郎主演の新作 2 時間サスペンス！「弁護士 六角心平 京都殺人事件簿２」４月４日（土）よる７時　豪華出演者からコメント到着！,黒谷友香「今回は心平さんとは別々に行動…最後に…」石丸謙二郎「胸の芯の奥の方をドンと打たれるような…」,2026年03月14日 13:56
66,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000004062.000011710.html,2026年03月13日 18:00,「大絶滅展－生命史のビッグファイブ」名古屋展 いよいよ3月20日(金・祝)より開幕！,展覧会スペシャルナビゲーター 福山雅治氏の特別企画「生命の声、地球の歌」、グッズの紹介,2026年03月14日 13:56
67,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000004876.000029501.html,2026年03月14日 11:00,ミキ史上最大規模で今年も全国漫才行脚！！『ミキ漫2026 全国ツアー』開催決定！,3月15日(日)よりFANYチケットにて先行受付開始,2026年03月14日 13:56
68,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000000449.000021750.html,2026年03月13日 14:09,STV朝の新番組「シャイン！」スタート,２０２６年３月３０日（月）朝５：００から放送,2026年03月14日 13:56
69,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000002125.000003392.html,2026年03月13日 17:00,TBSラジオ新番組『ファーストサマーウイカのとん・じん・ち！』4月3日（金）よりスタート！,,2026年03月14日 13:56
70,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000000498.000012860.html,2026年03月13日 12:00,名古屋会場限定グッズも！「ひつじのショーン展 with ウォレスとグルミット」3月28日から名古屋PARCOで開催。,名古屋会場限定&先行販売グッズが登場！開催を記念したスタンプラリーも実施します。,2026年03月14日 13:56
71,https://prtimes.jp/,エンタメ,https://prtimes.jp/main/html/rd/p/000003308.000012949.html,2026年03月12日 10:00,50周年を迎える浜田省吾の楽曲と匠の花火がシンクロ、夏の夜空を1万4000発が彩る一夜限りの最新型・花火エンタテインメント開催決定！,,2026年03月14日 13:56
